id,missing_count,hallucinated_count,contradictions_count,ref_precision,ref_recall,ref_f1,bleu,rouge_l_f
ex_000000,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000001,0,3,2,1.0,1.0,1.0,0.9837380598312618,0.9935897435897436
ex_000002,2,2,0,1.0,1.0,1.0,1.0,1.0
ex_000003,1,0,0,0.0,0.0,0.0,1.0,1.0
ex_000004,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000005,0,2,0,1.0,1.0,1.0,1.0,1.0
ex_000006,1,3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9392956416073396,0.975609756097561
ex_000007,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000008,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000009,0,2,0,1.0,0.8333333333333334,0.9090909090909091,0.9551438177276179,0.9823008849557522
ex_000010,0,1,0,0.8,0.8,0.8000000000000002,0.9855269679826361,0.9942857142857143
ex_000011,0,2,0,1.0,1.0,1.0,0.9918763024492429,0.9967741935483871
ex_000012,5,0,0,1.0,1.0,1.0,1.0,1.0
ex_000013,0,0,0,1.0,1.0,1.0,0.9735185667197579,0.9895104895104895
ex_000014,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000015,0,0,0,1.0,1.0,1.0,0.9902625212595506,0.9961389961389961
ex_000016,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000017,1,2,3,1.0,1.0,1.0,1.0,1.0
ex_000018,0,0,0,0.0,0.0,0.0,0.9709543309480139,0.9885057471264368
ex_000019,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000020,0,0,0,0.0,0.0,0.0,0.9880803503791113,0.9952830188679245
ex_000021,0,1,0,1.0,1.0,1.0,0.9163499804300562,0.9666666666666667
ex_000022,0,2,5,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9709543309480139,0.9885057471264368
ex_000023,0,2,0,1.0,1.0,1.0,0.9334432316819987,0.9737991266375546
ex_000024,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000025,0,0,0,0.0,0.0,0.0,0.9862437671704528,0.9945652173913043
ex_000026,0,1,6,1.0,1.0,1.0,1.0,1.0
ex_000027,2,1,0,1.0,1.0,1.0,1.0,1.0
ex_000028,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000029,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000030,1,2,0,1.0,1.0,1.0,0.9902625212595506,0.9961389961389961
ex_000031,0,3,0,1.0,1.0,1.0,1.0,1.0
ex_000032,0,0,0,0.0,0.0,0.0,0.9659807194989782,0.9865319865319865
ex_000033,1,0,0,1.0,1.0,1.0,1.0,1.0
ex_000034,0,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9766872700913048,0.9907834101382489
ex_000035,1,2,0,1.0,1.0,1.0,1.0,1.0
ex_000036,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000037,1,2,0,1.0,1.0,1.0,1.0,1.0
ex_000038,2,2,0,1.0,1.0,1.0,1.0,1.0
ex_000039,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000040,0,2,0,1.0,1.0,1.0,0.9889740890659162,0.9956331877729258
ex_000041,0,2,0,1.0,1.0,1.0,0.9787665355650066,0.9915966386554622
ex_000042,1,8,0,1.0,1.0,1.0,0.9770088987549989,0.990909090909091
ex_000043,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000044,1,1,0,1.0,1.0,1.0,1.0,1.0
ex_000045,0,2,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9481688605600763,0.9795221843003413
ex_000046,1,3,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9751828354547523,0.9901960784313726
ex_000047,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000048,1,2,0,1.0,1.0,1.0,0.968391282277988,0.9870689655172413
ex_000049,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000050,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000051,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000052,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000053,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000054,1,2,0,0.75,0.75,0.75,0.9431125879932076,0.9766355140186916
ex_000055,0,3,0,1.0,1.0,1.0,1.0,1.0
ex_000056,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000057,0,0,0,0.0,0.0,0.0,0.9780197117210739,0.991304347826087
ex_000058,1,3,3,1.0,1.0,1.0,0.9742894220755406,0.9898477157360406
ex_000059,1,1,2,1.0,1.0,1.0,1.0,1.0
ex_000060,1,4,0,1.0,1.0,1.0,1.0,1.0
ex_000061,1,0,0,1.0,1.0,1.0,1.0,1.0
ex_000062,0,1,0,1.0,1.0,1.0,0.9727824134936696,0.9888475836431226
ex_000063,2,0,0,1.0,1.0,1.0,0.9868238253530391,0.9947916666666666
ex_000064,0,1,0,1.0,1.0,1.0,0.9669907463589965,0.9869565217391304
ex_000065,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000066,0,0,0,0.0,0.0,0.0,0.9904848972552377,0.9962264150943396
ex_000067,0,0,0,1.0,1.0,1.0,0.9780197117210739,0.991304347826087
ex_000068,0,1,0,1.0,1.0,1.0,0.9896582825338524,0.9959016393442623
